<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.29	20:16:00	152.394	152.408	152.392	152.408	63	0	3
2025.10.29	20:17:00	152.403	152.415	152.362	152.371	62	0	3
2025.10.29	20:18:00	152.373	152.425	152.366	152.408	62	0	3
2025.10.29	20:19:00	152.409	152.419	152.390	152.408	63	0	3
2025.10.29	20:20:00	152.409	152.432	152.409	152.414	54	0	3
2025.10.29	20:21:00	152.418	152.425	152.376	152.393	67	0	3
2025.10.29	20:22:00	152.401	152.420	152.393	152.395	59	0	3
2025.10.29	20:23:00	152.395	152.398	152.381	152.393	52	0	3
2025.10.29	20:24:00	152.386	152.448	152.386	152.447	62	0	3
2025.10.29	20:25:00	152.450	152.486	152.450	152.465	63	0	3
2025.10.29	20:26:00	152.468	152.484	152.453	152.482	63	0	3
2025.10.29	20:27:00	152.484	152.484	152.444	152.445	54	0	3
2025.10.29	20:28:00	152.446	152.448	152.420	152.430	64	0	3
2025.10.29	20:29:00	152.431	152.452	152.408	152.433	64	0	3
2025.10.29	20:30:00	152.431	152.435	152.388	152.388	72	0	3
2025.10.29	20:31:00	152.385	152.461	152.368	152.451	79	0	3
2025.10.29	20:32:00	152.452	152.509	152.309	152.390	92	0	3
2025.10.29	20:33:00	152.386	152.389	152.306	152.325	91	0	3
2025.10.29	20:34:00	152.324	152.351	152.256	152.284	89	0	3
2025.10.29	20:35:00	152.278	152.742	152.271	152.676	113	0	2
2025.10.29	20:36:00	152.685	152.942	152.685	152.898	106	0	3
2025.10.29	20:37:00	152.897	152.941	152.816	152.893	99	0	3
2025.10.29	20:38:00	152.892	153.027	152.858	152.970	101	0	3
2025.10.29	20:39:00	152.991	153.021	152.934	153.012	96	0	4
2025.10.29	20:40:00	153.018	153.049	152.955	152.956	90	0	3
2025.10.29	20:41:00	152.958	153.002	152.945	152.954	87	0	3
2025.10.29	20:42:00	152.943	153.003	152.918	152.918	91	0	3
2025.10.29	20:43:00	152.916	152.941	152.766	152.802	85	0	4
2025.10.29	20:44:00	152.810	152.827	152.741	152.793	85	0	3
2025.10.29	20:45:00	152.780	152.839	152.780	152.814	80	0	3
2025.10.29	20:46:00	152.814	152.894	152.804	152.894	87	0	3
2025.10.29	20:47:00	152.893	152.964	152.804	152.953	93	0	3
2025.10.29	20:48:00	152.951	152.966	152.925	152.960	68	0	3
2025.10.29	20:49:00	152.961	152.988	152.954	152.962	70	0	3
2025.10.29	20:50:00	152.967	152.967	152.844	152.905	91	0	3
2025.10.29	20:51:00	152.895	152.910	152.840	152.848	91	0	3
2025.10.29	20:52:00	152.843	152.874	152.809	152.850	90	0	3
2025.10.29	20:53:00	152.837	152.862	152.812	152.860	81	0	3
2025.10.29	20:54:00	152.860	152.907	152.838	152.849	83	0	3
2025.10.29	20:55:00	152.870	152.871	152.798	152.821	90	0	3
2025.10.29	20:56:00	152.824	152.873	152.824	152.859	81	0	3
2025.10.29	20:57:00	152.860	152.872	152.769	152.794	89	0	3
2025.10.29	20:58:00	152.804	152.881	152.804	152.848	91	0	3
2025.10.29	20:59:00	152.846	152.848	152.812	152.826	73	0	3
2025.10.29	21:00:00	152.825	152.863	152.783	152.791	85	0	3
2025.10.29	21:01:00	152.790	152.851	152.773	152.812	86	0	3
2025.10.29	21:02:00	152.811	152.881	152.807	152.881	91	0	3
2025.10.29	21:03:00	152.884	152.923	152.844	152.918	91	0	3
2025.10.29	21:04:00	152.928	152.964	152.915	152.960	78	0	3
2025.10.29	21:05:00	152.960	152.960	152.865	152.865	89	0	3
2025.10.29	21:06:00	152.869	152.917	152.849	152.908	78	0	3
2025.10.29	21:07:00	152.905	152.910	152.844	152.857	83	0	3
2025.10.29	21:08:00	152.858	152.890	152.854	152.876	66	0	3
2025.10.29	21:09:00	152.857	152.893	152.831	152.877	81	0	3
2025.10.29	21:10:00	152.879	152.930	152.870	152.925	81	0	3
2025.10.29	21:11:00	152.926	152.945	152.907	152.907	77	0	3
2025.10.29	21:12:00	152.905	152.963	152.905	152.908	74	0	3
2025.10.29	21:13:00	152.909	152.917	152.874	152.878	64	0	3
2025.10.29	21:14:00	152.880	152.908	152.876	152.882	65	0	3
2025.10.29	21:15:00	152.883	152.909	152.821	152.907	79	0	3
2025.10.29	21:16:00	152.906	152.916	152.807	152.863	73	0	2
2025.10.29	21:17:00	152.864	152.896	152.853	152.869	82	0	3
2025.10.29	21:18:00	152.869	152.913	152.840	152.878	72	0	3
2025.10.29	21:19:00	152.882	152.916	152.835	152.835	70	0	3
2025.10.29	21:20:00	152.833	152.901	152.833	152.886	82	0	3
2025.10.29	21:21:00	152.890	152.895	152.859	152.860	64	0	3
2025.10.29	21:22:00	152.871	152.918	152.866	152.918	75	0	3
2025.10.29	21:23:00	152.920	152.941	152.894	152.941	61	0	3
2025.10.29	21:24:00	152.943	152.963	152.926	152.940	64	0	3
2025.10.29	21:25:00	152.940	152.953	152.846	152.938	83	0	3
2025.10.29	21:26:00	152.948	152.994	152.926	152.990	71	0	3
2025.10.29	21:27:00	152.996	153.018	152.992	152.998	71	0	3
2025.10.29	21:28:00	152.999	153.015	152.982	153.004	55	0	3
2025.10.29	21:29:00	153.001	153.034	153.001	153.014	58	0	2
2025.10.29	21:30:00	153.022	153.059	152.997	153.008	57	0	3
2025.10.29	21:31:00	153.009	153.010	152.959	152.960	60	0	3
2025.10.29	21:32:00	152.955	152.978	152.948	152.960	55	0	3
2025.10.29	21:33:00	152.959	152.970	152.914	152.925	50	0	3
2025.10.29	21:34:00	152.928	152.930	152.900	152.900	39	0	3
2025.10.29	21:35:00	152.902	152.906	152.881	152.897	57	0	3
2025.10.29	21:36:00	152.898	152.938	152.881	152.919	61	0	3
2025.10.29	21:37:00	152.920	152.935	152.906	152.926	61	0	3
2025.10.29	21:38:00	152.926	152.926	152.900	152.917	45	0	4
2025.10.29	21:39:00	152.916	152.936	152.911	152.915	44	0	4
2025.10.29	21:40:00	152.912	152.916	152.888	152.888	45	0	3
2025.10.29	21:41:00	152.888	152.915	152.857	152.906	42	0	3
2025.10.29	21:42:00	152.905	152.918	152.885	152.908	56	0	3
2025.10.29	21:43:00	152.905	152.911	152.893	152.911	41	0	3
2025.10.29	21:44:00	152.914	152.928	152.890	152.898	58	0	3
2025.10.29	21:45:00	152.898	152.905	152.871	152.893	40	0	3
2025.10.29	21:46:00	152.894	152.897	152.862	152.868	44	0	3
2025.10.29	21:47:00	152.865	152.865	152.840	152.847	53	0	3
2025.10.29	21:48:00	152.838	152.843	152.810	152.815	47	0	3
2025.10.29	21:49:00	152.815	152.827	152.804	152.824	45	0	3
